Movie,Rating (Out of 10),#Users Rated,Release Year
Maadadayo,7.4,4035,1993
Rhapsody in August ,7.3,5131,1991
Dreams,7.8,19373,1990
Ran,8.2,84277,1985
Kagemusha ,8,25284,1980
Dersu Uzala,8.3,18898,1975
Dodes'ka-den ,7.5,4839,1970
Red Beard ,8.3,12295,1965
High and Low ,8.4,19989,1963
Sanjuro ,8.2,22296,1962
Yojimbo ,8.3,80906,1961
The Bad Sleep Well ,8.1,8082,1960
The Hidden Fortress ,8.1,25980,1958
The Lower Depths ,7.5,3776,1957
Throne of Blood ,8.1,34723,1957
I Live in Fear ,7.4,3090,1955
Seven Samurai ,8.7,247406,1954
Ikiru ,8.3,46692,1952
The Idiot ,7.4,3533,1951
Rashomon ,8.3,112668,1950
Scandal ,7.4,2580,1950
Stray Dog ,7.9,11789,1949
The Quiet Duel ,7.5,2131,1949
Drunken Angel ,7.8,7422,1948
One Wonderful Sunday ,7.3,1988,1947
Waga seishun ni kuinashi ,7.2,2158,1946
Asu o tsukuru hitobito ,6.6,119,1946
The Men Who Tread on the Tiger's Tail ,6.8,2567,1945
Zoku Sugata Sanshirô ,6.2,1419,1945
Zoku Sugata Sanshirô ,5.8,1229,1944
