Movie,Rating (Out of 10),#Users Rated,Release Year
The Stranger (Agantuk),8.1,1760,1991
Shakha Prosakha,7.6,453,1990
Ganashatru,7.3,662,1989
Ghare Baire,7.7,812,1984
Hirak Rajar Deshe,8.8,1387,1980
Jai Baba Felunath,7.9,1086,1979
Shatranj Ke Khilari,7.8,2370,1977
Jana Aranya,8.3,887,1976
Sonar Kella,8.5,1308,1974
Distant Thunder (Ashani Sanket),8.2,908,1973
Company Limited (Seemabaddha),8,782,1971
Pratidwandi,8.2,1051,1970
Days and Nights in the Forest (Aranyer Din Ratri),8.3,1720,1970
Goopy Gayen Bagha Bayen,8.8,1495,1969
Chiriyakhana,7.2,477,1967
Nayak,8.3,1974,1966
Mahapurush,7.3,719,1965
The Coward (Kapurush),7.8,858,1965
Charulata,8.3,3597,1964
Mahanagar,8.3,2275,1963
Abhijaan,8,781,1962
Kanchenjungha,8,706,1962
Teen Kanya,8.2,991,1961
Devi,8,1407,1960
The World of Apu (Apur Sansar),8.2,8058,1959
The Music Room (Jalshaghar),8.1,3872,1958
Paras-Pathar,7.8,723,1958
Aparajito,8.2,7880,1956
Pather Panchali,8.4,15799,1955
