OBS,INTRATE,INFL,PROD,UNEMPL,COMMPRI,PCE,PERSINC,HOUST
1960:1,3.99,1.2,10.0,3.4,8.0,5.7,1.7,-11.9
1960:2,3.97,1.4,7.0,3.5,-8.6,5.1,1.3,-9.8
1960:3,3.84,1.5,4.5,2.7,-16.8,5.6,0.9,-31.5
1960:4,3.92,1.9,1.5,2.8,-5.0,7.8,0.7,-18.9
1960:5,3.85,1.8,-0.1,1.7,-12.4,4.4,0.3,-15.2
1960:6,3.32,1.7,-1.5,1.2,-24.3,3.7,0.1,-17.0
1960:7,3.23,1.4,0.6,0.9,-21.9,4.3,0.3,-22.6
1960:8,2.98,1.5,4.0,1.8,-12.2,3.6,0.8,-6.0
1960:9,2.60,1.2,3.0,1.5,-21.4,2.8,0.9,-28.8
1960:10,2.47,1.4,3.7,1.5,-28.7,3.9,1.2,-8.0
1960:11,2.44,1.5,1.6,0.6,-28.0,3.9,0.0,-12.0
1960:12,1.98,1.4,-6.2,-0.8,-26.7,2.6,-1.4,-33.6
1961:1,1.45,1.6,-8.5,-1.1,-23.0,2.7,-0.3,-19.0
1961:2,2.54,1.5,-7.7,-1.8,-17.4,2.6,0.2,-18.4
1961:3,2.02,1.5,-6.3,-1.5,-12.4,2.3,0.4,18.3
1961:4,1.49,0.9,-3.7,-2.2,-14.2,0.4,0.3,-9.5
1961:5,1.98,0.9,-2.1,-1.3,-3.5,3.0,0.8,-3.4
1961:6,1.73,0.8,0.6,-0.7,-4.9,3.3,1.8,10.8
1961:7,1.17,1.3,2.1,-0.3,2.0,2.8,2.1,11.5
1961:8,2.00,1.1,3.1,0.0,3.2,3.2,2.2,-2.4
1961:9,1.88,1.2,4.1,0.3,11.4,3.3,2.1,30.3
1961:10,2.26,0.8,6.2,0.7,23.3,3.3,2.8,13.6
1961:11,2.61,0.7,9.4,1.4,10.7,4.3,4.3,11.2
1961:12,2.33,0.7,12.5,2.1,20.8,6.4,5.4,28.4
1962:1,2.15,0.7,11.4,2.3,16.3,6.3,4.0,15.0
1962:2,2.37,0.9,13.4,3.0,8.7,6.1,4.1,4.2
1962:3,2.85,1.1,13.3,3.0,13.1,5.9,4.4,10.0
1962:4,2.78,1.3,11.3,3.7,3.5,6.4,4.6,30.7
1962:5,2.36,1.3,9.5,3.4,-5.5,6.5,3.8,20.8
1962:6,2.68,1.2,7.7,3.1,3.4,5.7,2.8,1.6
1962:7,2.71,1.0,7.5,3.0,1.4,6.1,2.9,8.6
1962:8,2.93,1.1,6.7,2.8,-8.6,6.1,3.0,15.6
1962:9,2.90,1.5,7.4,2.9,-15.8,7.1,2.9,-7.3
1962:10,2.90,1.3,5.5,2.8,-20.9,5.8,2.3,8.3
1962:11,2.94,1.3,4.4,2.4,-9.2,6.2,1.8,17.1
1962:12,2.93,1.2,3.5,2.1,-16.0,6.0,1.7,14.6
1963:1,2.92,1.3,5.1,2.2,-15.1,6.0,2.7,-8.6
1963:2,3.00,1.2,4.6,1.9,-5.5,5.4,1.6,13.9
1963:3,2.98,1.1,4.7,1.9,-16.4,4.9,1.3,6.3
1963:4,2.90,0.9,5.4,1.8,2.6,4.8,1.4,10.8
1963:5,3.00,0.9,6.8,1.8,29.0,4.2,1.7,10.7
1963:6,2.99,1.3,7.4,1.8,13.5,5.9,2.2,13.1
1963:7,3.02,1.6,5.9,1.9,18.2,6.4,1.9,11.3
1963:8,3.49,1.6,6.0,1.9,25.4,6.4,2.2,8.0
1963:9,3.48,1.0,6.4,2.0,27.3,4.5,2.9,33.2
1963:10,3.50,1.2,7.0,2.2,75.2,5.3,3.1,16.0
1963:11,3.48,1.3,7.1,2.1,40.6,4.8,2.9,0.0
1963:12,3.38,1.6,6.9,2.4,36.2,5.6,3.3,-4.7
1964:1,3.48,1.6,7.1,2.4,23.7,6.0,3.0,28.9
1964:2,3.48,1.4,6.6,2.7,16.2,7.2,3.9,25.0
1964:3,3.43,1.4,5.9,2.8,27.6,7.2,5.9,-1.1
1964:4,3.47,1.5,6.7,2.4,18.9,7.1,6.0,-14.3
1964:5,3.50,1.5,6.0,2.6,-10.1,8.3,6.2,-10.6
1964:6,3.50,1.3,6.0,2.8,0.3,7.8,6.0,-2.4
1964:7,3.42,1.1,7.1,2.9,-0.2,8.0,6.3,-3.2
1964:8,3.50,1.0,7.6,3.0,3.2,8.2,6.5,-4.3
1964:9,3.45,1.2,6.9,3.2,12.1,8.1,6.1,-17.5
1964:10,3.36,1.2,4.7,2.6,-10.5,8.7,5.5,-14.3
1964:11,3.52,1.4,7.4,3.4,3.5,6.9,5.9,-8.4
1964:12,3.85,1.2,8.9,3.6,8.1,6.7,6.1,-0.5
1965:1,3.90,1.1,9.1,3.6,17.8,7.0,5.9,-15.1
1965:2,3.98,1.2,9.0,3.5,7.8,7.8,5.7,-21.3
1965:3,4.04,1.2,10.5,3.6,6.4,7.8,3.6,-6.2
1965:4,4.09,1.4,9.2,4.0,5.0,8.5,3.2,-0.7
1965:5,4.10,1.6,9.4,4.1,16.1,7.1,3.8,0.7
1965:6,4.04,1.9,10.0,4.2,24.3,5.8,3.5,-4.0
1965:7,4.09,1.8,10.3,4.4,17.9,6.3,4.3,-2.1
1965:8,4.12,1.6,10.0,4.5,14.3,6.4,4.2,-8.7
1965:9,4.01,1.7,9.9,4.4,2.3,8.5,6.6,1.9
1965:10,4.08,1.7,12.5,5.0,-0.3,9.3,6.0,-4.7
1965:11,4.10,1.7,9.6,4.7,3.1,10.3,6.2,-1.7
1965:12,4.32,1.9,9.7,4.9,-3.7,9.7,5.6,11.6
1966:1,4.42,1.9,9.6,4.9,7.4,9.6,5.5,0.7
1966:2,4.60,2.6,9.6,5.0,24.8,9.0,5.9,-3.8
1966:3,4.65,2.8,9.7,5.3,32.9,9.6,5.9,-2.0
1966:4,4.67,2.9,9.4,5.3,22.1,9.1,5.4,-6.0
1966:5,4.90,2.8,9.6,5.3,19.0,8.1,4.5,-14.4
1966:6,5.17,2.4,9.2,5.6,11.3,9.3,4.8,-19.8
1966:7,5.30,2.8,8.8,5.5,11.0,9.0,4.1,-29.0
1966:8,5.53,3.5,8.4,5.4,12.8,8.7,4.1,-21.9
1966:9,5.40,3.6,9.2,5.1,11.2,8.2,1.9,-29.4
1966:10,5.53,3.8,8.8,5.1,2.5,6.5,2.9,-41.9
1966:11,5.76,3.6,7.6,4.9,1.8,6.7,2.6,-34.2
1966:12,5.40,3.4,6.5,4.6,0.9,6.6,2.1,-40.2
1967:1,4.94,3.2,6.0,4.6,-4.0,6.2,3.0,-22.1
1967:2,5.00,2.9,4.1,4.2,-23.6,4.8,2.8,-18.5
1967:3,4.53,2.5,2.1,3.7,-37.0,4.4,3.3,-24.2
1967:4,4.05,2.5,2.9,3.2,-32.9,5.1,3.6,-19.3
1967:5,3.94,2.3,1.1,3.0,-32.7,6.2,3.6,3.1
1967:6,3.98,2.8,0.6,2.6,-28.3,6.6,3.6,4.5
1967:7,3.79,2.9,-0.2,2.5,-19.8,5.4,3.6,25.6
1967:8,3.90,2.6,1.7,2.5,-15.1,5.5,3.5,25.7
1967:9,3.99,2.6,0.6,2.4,2.0,5.4,2.9,35.9
1967:10,3.88,2.6,0.7,2.1,11.9,4.9,2.5,76.9
1967:11,4.13,3.1,2.8,2.6,16.6,5.6,2.6,60.0
1967:12,4.51,3.3,3.7,2.6,17.8,6.7,3.6,32.1
1968:1,4.60,3.6,3.1,2.1,7.0,7.4,2.7,29.3
1968:2,4.71,3.6,4.6,2.7,23.5,8.2,3.3,35.4
1968:3,5.05,3.9,5.6,2.7,40.9,9.7,3.5,38.8
1968:4,5.76,3.9,4.7,3.2,27.0,8.5,4.0,42.4
1968:5,6.11,4.2,6.8,3.1,23.4,9.4,4.1,8.0
1968:6,6.07,4.2,7.2,3.3,20.5,9.7,4.2,12.6
1968:7,6.02,4.5,7.3,3.4,5.0,11.1,3.5,10.9
1968:8,6.03,4.5,5.6,3.3,10.1,11.2,3.3,6.3
1968:9,5.78,4.5,6.2,3.5,-3.7,10.2,3.3,9.5
1968:10,5.91,4.7,5.5,3.8,-10.0,11.6,3.7,5.2
1968:11,5.82,4.4,5.4,3.4,-17.1,11.4,3.5,6.0
1968:12,6.02,4.7,4.6,3.5,-3.5,9.8,2.9,18.3
1969:1,6.30,4.7,5.3,3.9,-1.2,9.9,2.6,28.2
1969:2,6.61,4.7,5.6,3.7,4.3,10.4,1.8,12.2
1969:3,6.79,5.2,6.1,3.9,4.3,8.2,1.1,6.5
1969:4,7.41,5.5,5.6,3.7,10.2,9.2,0.6,-1.9
1969:5,8.67,5.5,4.0,4.0,14.6,9.2,1.4,12.4
1969:6,8.90,5.5,4.7,4.0,14.9,8.1,1.7,8.8
1969:7,8.61,5.4,5.4,3.8,20.6,7.0,2.7,-9.5
1969:8,9.19,5.4,5.3,3.9,13.6,7.6,3.2,-9.2
1969:9,9.15,5.7,4.9,3.5,14.9,8.0,3.5,-3.1
1969:10,9.00,5.7,4.7,3.5,20.5,8.2,3.4,-12.0
1969:11,8.85,5.9,2.4,3.0,17.7,7.6,3.2,-24.6
1969:12,8.97,5.9,1.8,2.9,7.0,8.1,3.0,-14.3
1970:1,8.98,6.2,-0.7,2.5,4.5,7.8,3.7,-38.7
1970:2,8.98,6.4,-1.4,2.3,-6.4,7.7,4.0,-23.5
1970:3,7.76,6.1,-2.3,2.2,-14.6,7.4,4.2,-15.5
1970:4,8.10,6.1,-2.2,1.8,-4.7,7.1,5.5,-17.1
1970:5,7.94,6.0,-1.9,1.1,-1.3,7.0,3.8,-18.5
1970:6,7.60,6.0,-3.2,0.6,-8.8,7.6,2.7,-9.4
1970:7,7.21,5.7,-3.4,0.5,-10.5,7.6,3.6,10.9
1970:8,6.61,5.7,-3.8,-0.1,-18.7,7.1,3.3,3.0
1970:9,6.29,5.7,-4.5,0.0,-15.1,7.5,3.2,1.8
1970:10,6.20,5.6,-6.4,-0.8,-20.5,6.4,2.4,14.4
1970:11,5.60,5.6,-6.1,-1.0,-16.7,5.8,2.0,34.0
1970:12,4.90,5.6,-3.7,-0.6,-21.5,6.9,2.3,42.7
1971:1,4.14,5.3,-1.1,-0.4,-19.2,7.6,3.3,68.5
1971:2,3.72,4.7,-1.2,-0.7,-13.3,7.2,3.2,33.4
1971:3,3.71,4.4,-1.2,-0.8,-1.2,7.9,3.1,44.8
1971:4,4.15,4.2,-0.4,-0.4,-5.7,8.3,2.1,57.1
1971:5,4.63,4.4,0.2,0.2,-8.6,7.6,3.0,58.8
1971:6,4.91,4.4,1.0,0.3,5.8,8.3,5.5,46.3
1971:7,5.31,4.4,0.4,0.4,0.3,7.8,2.3,37.3
