logw,educ,age,exper,smsa,south,nearc,daded,momed
6.30627529,7,29,16,1,0,0,9.94,10.25
6.17586727,12,27,9,1,0,0,8,8
6.58063914,12,34,16,1,0,0,14,12
5.52146092,11,27,10,1,0,1,11,12
6.59167373,12,34,16,1,0,1,8,7
6.2146081,12,26,8,1,0,1,9,12
6.33682573,18,33,9,1,0,1,14,14
6.41017488,14,29,9,1,0,1,14,14
6.05208917,12,28,10,1,0,1,12,12
6.2441669,12,29,11,1,0,1,12,12
5.4161004,9,28,13,1,0,1,11,12
5.99146455,12,26,8,1,0,1,11,6
6.03308622,11,24,7,1,0,1,11,6
5.37989735,11,30,13,1,0,1,11,6
6.79570578,16,31,9,1,0,1,9.94,8
5.70378247,14,24,4,1,0,1,15,12
5.84643878,12,34,16,1,0,1,12,8
6.48920493,14,29,9,1,0,1,9.94,12
6.35437004,10,26,10,1,0,1,8,8
6.47543272,12,32,14,1,0,1,8,8
6.85012617,18,32,8,1,1,1,12,13
6.41999493,18,34,10,1,0,1,9.94,8
6.58755001,15,32,11,0,0,1,5,14
6.4035742,12,28,10,1,0,1,14,12
6.54103,12,32,14,1,0,1,11,12
7.24422752,18,34,10,0,0,1,14,13
5.70378247,12,26,8,1,0,1,7,12
7.49554194,18,32,8,1,0,1,16,16
6.02344759,12,25,7,1,0,1,11,12
6.44888939,14,29,9,0,0,1,9.94,16
5.33753808,12,25,7,1,0,1,12,12
6.12468339,12,25,7,1,0,1,9.94,11
6.71417053,16,24,2,1,0,1,10,10
6.35784227,18,34,10,1,0,1,9.94,12
5.54126355,11,28,11,1,0,1,6,10
6.86901445,16,30,8,1,0,1,12,12
6.85012617,10,31,15,1,0,1,8,6
7.0440329,18,34,10,1,0,1,8,11
5.78074352,6,27,15,1,0,1,2,6
5.45958551,11,24,7,1,0,1,6,12
6.90775528,12,34,16,1,0,1,11,10
6.17586727,9,26,11,1,0,1,9.94,12
6.43615037,15,32,11,1,0,1,10,12
6.47697236,11,34,17,1,0,1,8,10
5.84064166,12,24,6,1,0,1,9.94,10
5.94017125,16,24,2,1,1,1,12,10
5.86646806,12,24,6,1,0,1,12,11
6.49072353,13,25,6,1,0,1,9.94,12
6.43133108,17,28,5,1,0,1,10,10
6.08677473,12,25,7,1,0,1,10,11
6.60394382,12,26,8,1,0,1,12,10
5.6347896,11,31,14,0,1,1,5,5
6.07304453,10,24,8,1,0,1,5,10.25
6.5581978,12,27,9,1,0,1,9.94,8
6.05208917,12,27,9,1,0,1,10,12
6.34738921,12,24,6,1,0,1,9.94,4
6.28785856,16,30,8,1,0,1,12,12
6.60665019,16,32,10,1,0,1,12,12
6.51174533,13,32,13,1,0,1,10,12
6.64509097,12,34,16,1,0,1,10,10
6.38350663,12,24,6,1,0,1,10,10
5.36129217,9,24,9,1,0,1,12,11
7.35436233,16,34,12,1,0,1,12,12
6.65157187,16,28,6,1,0,1,11,11
6.39692966,12,26,8,1,1,1,8,9
6.54103,18,24,0,1,0,1,16,16
6.34563636,13,31,12,1,0,1,8,12
6.07073773,14,28,8,1,0,1,12,12
6.28785856,15,28,7,1,0,1,12,12
6.44094654,12,25,7,1,0,1,12,9
6.17586727,8,31,17,1,0,1,12,11
6.30078579,12,26,8,1,0,1,6,11
6.35610766,12,25,7,1,0,1,12,9
6.55108034,16,25,3,1,0,1,14,12
6.66949809,16,28,6,1,0,1,12,12
6.91968385,17,27,4,1,0,1,12,12
6.63068339,12,24,6,1,0,1,12,10
6.39859493,14,29,9,1,0,1,12,16
5.6454469,12,24,6,1,0,1,9.94,12
5.52146092,12,24,6,1,0,1,12,12
6.2146081,12,26,8,1,0,1,10,12
6.30991828,11,31,14,1,0,1,8,6
7.04141166,12,25,7,1,0,1,8,6
6.69703425,18,31,7,1,1,1,8,8
5.74620319,12,28,10,1,0,1,9.94,9
6.59441346,18,25,1,1,0,1,9.94,4
6.43775165,16,25,3,1,0,1,9,10
6.37672695,14,24,4,1,0,1,16,12
5.92692603,14,26,6,1,0,1,12,12
6.70563909,16,29,7,1,1,1,14,11
6.76272951,14,30,10,1,0,1,15,12
5.85793315,15,28,7,1,1,1,12,12
5.3082677,13,24,5,1,1,1,12,12
6.22455843,13,32,13,1,1,1,16,16
6.70441435,17,30,7,1,0,1,12,13
6.43775165,18,26,2,1,0,1,14,12
6.64509097,18,32,8,1,0,1,16,16
6.2146081,17,27,4,1,0,1,16,17
6.42810527,17,27,4,1,0,1,12,8
6.47697236,12,30,12,1,0,1,9.94,8
6.64509097,18,28,4,1,0,1,10,12
6.23832463,12,26,8,1,0,1,10,12
6.43775165,18,31,7,1,0,1,12,13
7.01301579,14,31,11,1,0,1,12,12
6.58063914,13,28,9,1,0,1,12,12
7.05098945,14,32,12,1,0,1,13,12
6.7178047,18,34,10,0,0,1,18,18
6.82762923,16,34,12,1,0,1,14,12
6.98100574,17,28,5,1,0,1,14,17
6.43775165,12,33,15,1,0,1,9.94,8
6.13122649,13,27,8,1,0,1,9.94,8
6.80239476,14,24,4,1,0,1,8,12
6.52502966,18,29,5,1,0,1,8,9
6.01859321,12,24,6,1,0,1,10,12
6.43775165,13,27,8,1,0,1,12,15
6.91274282,18,32,8,1,0,1,12,12
6.58617165,11,24,7,1,0,1,9,11
6.62007321,15,27,6,1,0,1,8,11
6.27098843,14,29,9,1,0,1,9.94,8
6.8793558,17,29,6,1,0,1,8,12
6.15697899,12,26,8,0,0,1,12,12
5.78382518,12,24,6,1,0,1,12,12
6.77422389,12,34,16,1,0,1,9.94,12
6.43775165,13,34,15,1,0,1,9,10
5.82008293,12,26,8,1,0,1,8,10
6.17586727,16,27,5,1,0,1,5,5
6.47697236,9,29,14,1,0,1,5,10.25
5.94803499,16,25,3,1,0,1,5,4
6.86901445,18,30,6,1,0,1,15,14
6.42162227,16,29,7,0,0,1,13,12
6.5539334,14,28,8,1,0,1,12,12
6.453625,14,31,11,1,0,1,9.94,12
5.29831737,12,28,10,1,0,1,10,11
6.70563909,12,27,9,1,0,1,10,10
6.35784227,14,26,6,1,0,1,9.94,12
6.14418563,17,26,3,1,0,1,12,12
6.82871207,16,29,7,1,0,1,9.94,12
6.67582322,16,31,9,1,1,1,12,12
6.453625,14,28,8,1,0,1,12,12
6.34563636,12,25,7,1,0,1,9.94,10.25
6.5581978,16,29,7,1,0,1,12,12
6.453625,14,28,8,1,0,1,12,9
6.54247196,12,30,12,1,0,1,9.94,12
6.42162227,13,34,15,1,0,1,10,12
6.13556489,16,26,4,1,0,1,15,10
6.76272951,12,34,16,1,0,1,12,12
6.60258789,18,33,9,1,1,1,12,12
7.24422752,12,25,7,1,0,1,8,14
6.69456206,12,31,13,1,0,1,9.94,7
6.48310735,16,26,4,1,0,1,11,12
5.70378247,12,25,7,1,0,1,9.94,12
6.35784227,16,30,8,1,0,1,8,10
5.57972983,16,24,2,1,0,1,10,12
6.38687932,18,31,7,0,0,1,8,8
5.78382518,17,26,3,1,0,1,12,8
5.95324333,16,24,2,0,0,1,12,8
6.90775528,18,25,1,1,0,1,12,12
6.14203741,18,28,4,1,0,1,8,11
6.08677473,16,28,6,1,0,1,16,18
6.43775165,16,27,5,1,0,1,16,17
5.65248918,17,27,4,1,0,1,11,12
6.47697236,14,27,7,1,0,1,10,12
6.69456206,13,25,6,1,0,1,10,12
6.2146081,12,24,6,1,0,1,10,12
6.72262979,16,26,4,1,0,1,14,12
6.2146081,12,31,13,1,0,1,8,6
6.54103,17,32,9,1,0,1,12,12
7.00306546,12,27,9,1,0,1,12,10
6.63725803,12,25,7,1,0,1,8,12
6.67834211,12,27,9,1,0,1,8,9
5.80814249,16,25,3,1,0,1,7,8
6.01371516,18,30,6,1,0,1,16,12
6.76272951,16,27,5,1,0,1,9.94,12
6.78897174,12,31,13,1,0,1,8,12
6.51174533,12,34,16,1,0,1,9.94,12
6.55108034,12,33,15,0,0,1,7,10.25
5.52146092,18,33,9,1,1,1,16,16
6.43775165,11,27,10,1,0,1,11,9
6.03308622,13,31,12,1,0,1,8,12
6.35610766,13,28,9,1,0,1,8,12
6.41836494,12,26,8,1,0,1,12,9
6.55108034,12,31,13,1,0,1,11,9
6.10924758,12,24,6,1,0,1,11,9
6.2146081,16,28,6,1,0,1,9.94,12
6.24222327,12,25,7,0,0,1,12,10.25
5.52146092,16,25,3,1,0,1,12,12
5.75257264,12,24,6,0,0,1,12,12
5.92692603,12,29,11,1,0,1,9,12
6.12468339,15,34,13,0,0,1,9.94,12
5.6167711,12,27,9,1,0,1,9.94,10.25
6.85751406,12,28,10,1,0,1,9.94,12
7.01660968,16,32,10,1,0,1,8,9
5.66642669,16,25,3,0,0,1,12,14
6.2146081,16,25,3,1,0,1,9.94,10.25
6.58755001,18,32,8,1,0,1,16,12
7.1428274,18,29,5,1,0,1,18,12
6.41836494,17,26,3,1,0,1,18,18
6.30078579,12,28,10,1,0,1,10,11
5.62762111,13,28,9,1,0,1,12,8
7.27378632,18,34,10,1,0,1,16,12
6.90274274,16,27,5,1,0,1,16,12
6.55108034,12,29,11,1,0,1,11,11
6.35784227,16,28,6,1,0,1,9,12
6.7546041,16,31,9,1,0,1,6,12
6.53087763,12,28,10,1,0,1,12,10.25
6.72383244,15,31,10,1,0,1,11,10.25
6.45047042,13,33,14,1,0,1,13,8
6.53524127,12,32,14,1,0,1,12,12
6.64509097,14,30,10,1,0,1,8,8
5.95324333,15,27,6,1,0,1,12,14
6.10924758,12,24,6,1,0,1,12,14
6.42162227,12,27,9,1,0,1,10,12
6.52502966,12,34,16,1,0,1,9.94,8
6.50727771,10,32,16,1,0,1,9.94,10.25
6.68461173,11,33,16,1,0,1,8,8
6.22455843,14,34,14,1,0,1,8,8
6.93342303,18,30,6,1,0,1,12,16
6.64509097,15,25,4,1,0,1,16,12
5.66988092,10,32,16,1,1,1,10,14
6.27098843,13,28,9,1,0,1,9.94,8
7.05098945,16,29,7,1,0,1,12,12
6.30809844,10,29,13,1,0,1,12,10.25
6.1633148,12,26,8,1,0,1,8,12
6.10924758,12,26,8,1,0,1,12,12
6.77422389,17,27,4,1,0,1,10,10.25
5.29831737,15,25,4,1,0,1,10,10.25
5.70378247,13,26,7,0,0,1,16,16
6.13556489,16,25,3,0,0,1,16,10.25
5.95324333,12,30,12,1,0,1,13,12
7.15617664,15,32,11,1,0,1,16,16
6.37672695,16,25,3,1,0,1,12,12
6.39692966,12,27,9,1,0,1,17,16
6.2146081,16,30,8,1,0,1,6,10.25
6.08677473,12,33,15,1,0,1,8,8
6.14632926,18,26,2,1,1,1,13,16
6.83410874,17,29,6,1,0,1,14,12
6.32076829,16,27,5,1,0,1,14,12
6.08221891,13,24,5,1,0,1,14,12
6.39692966,12,29,11,1,0,1,9,10
6.35437004,12,26,8,1,0,1,9,10
5.96357934,12,26,8,1,0,1,9,10
6.67834211,12,34,16,0,0,1,12,10.25
6.15485809,18,27,3,1,0,1,18,16
