repond id,response,male,activity,age
1,1,0,0,58
2,1,1,0,50
3,1,1,0,40
4,1,1,0,36
5,1,1,0,28
6,1,1,0,70
7,1,1,0,38
8,1,1,0,45
9,1,0,0,42
10,1,0,1,66
11,1,1,0,41
12,1,1,0,65
13,1,0,0,83
14,1,0,1,40
15,1,1,1,67
16,1,1,1,54
17,1,1,0,67
18,1,1,1,44
19,1,1,0,71
20,1,1,1,68
21,1,1,0,54
22,1,1,1,57
23,1,1,0,37
24,1,1,0,70
25,1,1,1,64
26,1,1,1,41
27,1,1,0,70
28,1,1,1,44
29,1,1,1,39
30,1,1,0,60
31,1,1,0,64
32,1,0,0,85
33,1,1,0,56
34,1,1,0,37
35,1,1,0,67
36,1,1,0,53
37,1,1,0,43
38,1,1,0,41
39,1,1,1,45
40,1,0,0,36
41,1,1,1,63
42,1,1,0,39
43,1,1,0,40
44,1,1,0,68
45,1,1,0,70
46,1,1,0,52
47,1,0,0,50
48,1,1,1,39
49,1,1,1,42
50,1,1,0,44
51,1,1,0,34
52,1,1,1,57
53,1,1,0,66
54,1,0,0,76
55,1,1,0,67
56,1,0,0,70
57,1,0,0,48
58,1,1,0,46
59,1,1,1,59
60,1,1,0,39
61,1,1,0,44
62,1,1,0,64
63,1,0,0,62
64,1,0,0,51
65,1,1,0,50
66,1,1,1,24
67,1,1,1,68
68,1,1,0,40
69,1,1,0,66
70,1,0,1,58
71,1,1,0,53
72,1,1,0,54
73,1,1,0,34
74,1,1,0,50
75,1,1,0,51
76,1,0,0,34
77,1,1,0,71
78,1,1,1,49
79,1,1,0,33
80,1,1,0,36
81,1,1,0,41
82,1,1,1,49
83,1,1,1,40
84,1,1,0,47
85,1,1,0,65
86,1,0,0,33
87,1,0,0,36
88,1,1,0,29
89,1,0,0,50
90,1,1,0,49
91,1,1,0,70
92,1,1,0,49
93,1,1,1,43
94,1,1,0,31
95,1,1,0,60
96,1,1,1,43
97,1,1,1,43
98,1,1,0,42
99,1,1,1,60
100,1,1,0,57
101,1,1,0,45
102,1,1,1,41
103,1,1,1,39
104,1,1,0,51
105,1,1,0,73
106,1,1,0,59
107,1,0,0,74
108,1,1,0,61
109,1,1,0,55
110,1,1,0,58
111,1,1,1,39
112,1,1,1,62
113,1,0,0,37
114,1,1,0,38
115,1,0,0,31
116,1,1,0,40
117,1,1,0,39
118,1,1,1,33
119,1,1,1,50
120,1,1,0,66
121,1,1,1,55
122,1,1,0,40
123,1,0,0,27
124,1,1,0,49
125,1,1,1,44
126,1,1,0,47
127,1,0,1,44
128,1,1,0,40
129,1,0,0,39
130,1,1,0,55
131,1,1,0,62
132,1,1,0,56
133,1,0,0,45
134,1,1,0,41
135,1,1,0,57
136,1,1,0,53
137,1,1,0,40
138,1,1,0,52
139,1,1,1,41
140,1,1,0,31
141,1,1,0,41
142,1,1,0,56
143,1,1,0,40
144,1,1,0,41
145,1,1,0,57
146,1,1,0,58
147,1,0,0,38
148,1,1,0,36
149,1,0,1,68
150,1,1,0,60
151,1,1,1,25
152,1,1,0,41
153,1,0,0,46
154,1,1,0,64
155,1,1,0,48
156,1,1,1,61
157,1,1,0,40
158,1,1,1,70
159,1,1,0,49
160,1,1,0,42
161,1,0,1,63
162,1,0,0,53
163,1,1,1,38
164,1,1,0,54
165,1,1,0,57
166,1,1,1,71
167,1,0,1,59
168,1,0,0,56
169,1,1,0,62
170,1,1,0,59
171,1,1,0,68
172,1,1,1,65
173,1,1,1,44
174,1,1,0,78
175,1,1,0,59
176,1,1,0,40
177,1,1,0,62
178,1,1,1,58
179,1,1,0,43
180,1,1,0,62
181,1,1,1,47
182,1,1,0,50
183,1,1,0,53
184,1,1,0,49
185,1,0,0,63
186,1,1,0,50
187,1,1,0,40
188,1,1,0,43
189,1,1,0,39
190,1,1,0,61
191,1,1,0,52
192,1,1,0,66
193,1,1,0,44
194,1,1,0,40
195,1,1,1,42
196,1,0,0,32
197,1,1,0,32
198,1,1,1,51
199,1,1,1,61
200,1,1,1,54
201,1,0,0,73
202,1,1,0,48
203,1,0,1,29
204,1,0,1,42
205,1,1,0,36
206,1,1,0,53
207,1,1,0,25
208,1,1,0,69
209,1,1,0,61
210,1,1,1,23
211,1,1,0,28
212,1,1,1,28
213,1,1,0,38
214,1,1,0,29
215,1,1,0,49
216,1,0,0,21
217,1,1,0,54
218,1,1,0,70
219,1,1,0,51
220,1,0,0,40
221,1,1,0,59
222,1,1,1,23
223,1,1,0,57
224,1,1,1,50
225,1,1,0,62
226,1,0,0,59
227,1,1,0,50
228,1,1,0,54
